cos,sin
0.01727295,0.9998169
0.0,1.0
-0.01751709,0.9998169
-0.034973145,0.99938965
-0.052337646,0.99861145
-0.06982422,0.99757385
-0.0872345,0.99617004
-0.10458374,0.9944916
-0.12193298,0.9925232
-0.13919067,0.9902191
-0.15644836,0.98768616
-0.17367554,0.984787
-0.19082642,0.9815979
-0.20796204,0.9780884
-0.22492981,0.97436523
-0.2419281,0.9702759
-0.25880432,0.96595764
-0.27574158,0.9611664
-0.2924652,0.9562378
-0.309021,0.95106506
-0.32565308,0.9454651
-0.3420868,0.939621
-0.35845947,0.933548
-0.37471008,0.92710876
-0.3908081,0.9204407
-0.4067688,0.9135437
-0.42269897,0.9062958
-0.43841553,0.89875793
-0.45402527,0.89100647
-0.4695282,0.8829346
-0.48486328,0.8746033
-0.5000458,0.8660431
-0.51509094,0.8571625
-0.5299835,0.848053
-0.5447235,0.8385773
-0.5592041,0.82902527
-0.5736084,0.8191223
-0.58776855,0.80903625
-0.60191345,0.79855347
-0.6157532,0.78793335
-0.62939453,0.77708435
-0.64289856,0.7659912
-0.65615845,0.75465393
-0.66922,0.743103
-0.68211365,0.7312927
-0.69470215,0.71932983
-0.70718384,0.7070465
-0.7194824,0.69454956
-0.73147583,0.6819
-0.74328613,0.66900635
-0.7548065,0.65597534
-0.7661438,0.64271545
-0.77723694,0.6292114
-0.78808594,0.61557007
-0.79870605,0.60173035
-0.80918884,0.58758545
-0.8192444,0.5734253
-0.82914734,0.559021
-0.83872986,0.54447937
-0.84817505,0.5297394
-0.85728455,0.5148468
-0.86613464,0.49986267
-0.8746948,0.48468018
-0.88305664,0.46931458
-0.89112854,0.45381165
-0.8988495,0.4382019
-0.9063873,0.42248535
-0.91363525,0.40655518
-0.92056274,0.39056396
-0.92726135,0.37443542
-0.933609,0.35824585
-0.939682,0.34187317
-0.94555664,0.32540894
-0.9511261,0.30880737
-0.95632935,0.29219055
-0.9613342,0.27540588
-0.9660187,0.25852966
-0.9703064,0.24171448
-0.97439575,0.22471619
-0.9781494,0.2077179
-0.98165894,0.19058228
-0.9848175,0.1734314
-0.9877167,0.15623474
-0.99024963,0.13897705
-0.9925842,0.121658325
-0.9945526,0.10430908
-0.99617004,0.087020874
-0.99757385,0.069610596
-0.99861145,0.052124023
-0.99938965,0.034729004
-0.9998169,0.01727295
-1.0,0.0
-0.9998169,-0.01751709
-0.99938965,-0.034973145
-0.99861145,-0.052337646
-0.99757385,-0.06982422
-0.99617004,-0.0872345
-0.9944916,-0.10458374
-0.9925232,-0.12193298
-0.9902191,-0.13919067
-0.98768616,-0.15644836
-0.984787,-0.17367554
-0.9815979,-0.19082642
-0.9780884,-0.20796204
-0.97436523,-0.22492981
-0.9702759,-0.2419281
-0.96595764,-0.25880432
-0.9611664,-0.27574158
-0.9562378,-0.2924652
-0.95106506,-0.309021
-0.9454651,-0.32565308
-0.939621,-0.3420868
-0.933548,-0.35845947
-0.92710876,-0.37471008
-0.9204407,-0.3908081
-0.9135437,-0.4067688
-0.9062958,-0.42269897
-0.89875793,-0.43841553
-0.89100647,-0.45402527
-0.8829346,-0.4695282
-0.8746033,-0.48486328
-0.8660431,-0.5000458
-0.8571625,-0.51509094
-0.848053,-0.5299835
-0.8385773,-0.5447235
-0.82902527,-0.5592041
-0.8191223,-0.5736084
-0.80903625,-0.58776855
-0.79855347,-0.60191345
-0.78793335,-0.6157532
-0.77708435,-0.62939453
-0.7659912,-0.64289856
-0.75465393,-0.65615845
-0.743103,-0.66922
-0.7312927,-0.68211365
-0.71932983,-0.69470215
-0.7070465,-0.70718384
-0.69454956,-0.7194824
-0.6819,-0.73147583
-0.66900635,-0.74328613
-0.65597534,-0.7548065
-0.64271545,-0.7661438
-0.6292114,-0.77723694
-0.61557007,-0.78808594
-0.60173035,-0.79870605
-0.58758545,-0.80918884
-0.5734253,-0.8192444
-0.559021,-0.82914734
-0.54447937,-0.83872986
-0.5297394,-0.84817505
-0.5148468,-0.85728455
-0.49986267,-0.86613464
-0.48468018,-0.8746948
-0.46931458,-0.88305664
-0.45381165,-0.89112854
-0.4382019,-0.8988495
-0.42248535,-0.9063873
-0.40655518,-0.91363525
-0.39056396,-0.92056274
-0.37443542,-0.92726135
-0.35824585,-0.933609
-0.34187317,-0.939682
-0.32540894,-0.94555664
-0.30880737,-0.9511261
-0.29219055,-0.95632935
-0.27540588,-0.9613342
-0.25852966,-0.9660187
-0.24171448,-0.9703064
-0.22471619,-0.97439575
-0.2077179,-0.9781494
-0.19058228,-0.98165894
-0.1734314,-0.9848175
-0.15623474,-0.9877167
-0.13897705,-0.99024963
-0.121658325,-0.9925842
-0.10430908,-0.9945526
-0.087020874,-0.99617004
-0.069610596,-0.99757385
-0.052124023,-0.99861145
-0.034729004,-0.99938965
-0.01727295,-0.9998169
-0.0,-1.0
0.01751709,-0.9998169
0.034973145,-0.99938965
0.052337646,-0.99861145
0.06982422,-0.99757385
0.0872345,-0.99617004
0.10458374,-0.9944916
0.12193298,-0.9925232
0.13919067,-0.9902191
0.15644836,-0.98768616
0.17367554,-0.984787
0.19082642,-0.9815979
0.20796204,-0.9780884
0.22492981,-0.97436523
0.2419281,-0.9702759
0.25880432,-0.96595764
0.27574158,-0.9611664
0.2924652,-0.9562378
0.309021,-0.95106506
0.32565308,-0.9454651
0.3420868,-0.939621
0.35845947,-0.933548
0.37471008,-0.92710876
0.3908081,-0.9204407
0.4067688,-0.9135437
0.42269897,-0.9062958
0.43841553,-0.89875793
0.45402527,-0.89100647
0.4695282,-0.8829346
0.48486328,-0.8746033
0.5000458,-0.8660431
0.51509094,-0.8571625
0.5299835,-0.848053
0.5447235,-0.8385773
0.5592041,-0.82902527
0.5736084,-0.8191223
0.58776855,-0.80903625
0.60191345,-0.79855347
0.6157532,-0.78793335
0.62939453,-0.77708435
0.64289856,-0.7659912
0.65615845,-0.75465393
0.66922,-0.743103
0.68211365,-0.7312927
0.69470215,-0.71932983
0.70718384,-0.7070465
0.7194824,-0.69454956
0.73147583,-0.6819
0.74328613,-0.66900635
0.7548065,-0.65597534
0.7661438,-0.64271545
0.77723694,-0.6292114
0.78808594,-0.61557007
0.79870605,-0.60173035
0.80918884,-0.58758545
0.8192444,-0.5734253
0.82914734,-0.559021
0.83872986,-0.54447937
0.84817505,-0.5297394
0.85728455,-0.5148468
0.86613464,-0.49986267
0.8746948,-0.48468018
0.88305664,-0.46931458
0.89112854,-0.45381165
0.8988495,-0.4382019
0.9063873,-0.42248535
0.91363525,-0.40655518
0.92056274,-0.39056396
0.92726135,-0.37443542
0.933609,-0.35824585
0.939682,-0.34187317
0.94555664,-0.32540894
0.9511261,-0.30880737
0.95632935,-0.29219055
0.9613342,-0.27540588
0.9660187,-0.25852966
0.9703064,-0.24171448
0.97439575,-0.22471619
0.9781494,-0.2077179
0.98165894,-0.19058228
0.9848175,-0.1734314
0.9877167,-0.15623474
0.99024963,-0.13897705
0.9925842,-0.121658325
0.9945526,-0.10430908
0.99617004,-0.087020874
0.99757385,-0.069610596
0.99861145,-0.052124023
0.99938965,-0.034729004
0.9998169,-0.01727295
1.0000763,0.0
0.9998169,0.01751709
0.99938965,0.034973145
0.99861145,0.052337646
0.99757385,0.06982422
0.99617004,0.0872345
0.9944916,0.10458374
0.9925232,0.12193298
0.9902191,0.13919067
0.98768616,0.15644836
0.984787,0.17367554
0.9815979,0.19082642
0.9780884,0.20796204
0.97436523,0.22492981
0.9702759,0.2419281
0.96595764,0.25880432
0.9611664,0.27574158
0.9562378,0.2924652
0.95106506,0.309021
0.9454651,0.32565308
0.939621,0.3420868
0.933548,0.35845947
0.92710876,0.37471008
0.9204407,0.3908081
0.9135437,0.4067688
0.9062958,0.42269897
0.89875793,0.43841553
0.89100647,0.45402527
0.8829346,0.4695282
0.8746033,0.48486328
0.8660431,0.5000458
0.8571625,0.51509094
0.848053,0.5299835
0.8385773,0.5447235
0.82902527,0.5592041
0.8191223,0.5736084
0.80903625,0.58776855
0.79855347,0.60191345
0.78793335,0.6157532
0.77708435,0.62939453
0.7659912,0.64289856
0.75465393,0.65615845
0.743103,0.66922
0.7312927,0.68211365
0.71932983,0.69470215
0.7070465,0.70718384
0.69454956,0.7194824
0.6819,0.73147583
0.66900635,0.74328613
0.65597534,0.7548065
0.64271545,0.7661438
0.6292114,0.77723694
0.61557007,0.78808594
0.60173035,0.79870605
0.58758545,0.80918884
0.5734253,0.8192444
0.559021,0.82914734
0.54447937,0.83872986
0.5297394,0.84817505
0.5148468,0.85728455
0.49986267,0.86613464
0.48468018,0.8746948
0.46931458,0.88305664
0.45381165,0.89112854
0.4382019,0.8988495
0.42248535,0.9063873
0.40655518,0.91363525
0.39056396,0.92056274
0.37443542,0.92726135
0.35824585,0.933609
0.34187317,0.939682
0.32540894,0.94555664
0.30880737,0.9511261
0.29219055,0.95632935
0.27540588,0.9613342
0.25852966,0.9660187
0.24171448,0.9703064
0.22471619,0.97439575
0.2077179,0.9781494
0.19058228,0.98165894
0.1734314,0.9848175
0.15623474,0.9877167
0.13897705,0.99024963
0.121658325,0.9925842
0.10430908,0.9945526
0.087020874,0.99617004
0.069610596,0.99757385
0.052124023,0.99861145
0.034729004,0.99938965
0.01727295,0.9998169
0.0,1.0
-0.01751709,0.9998169
-0.034973145,0.99938965
-0.052337646,0.99861145
-0.06982422,0.99757385
-0.0872345,0.99617004
-0.10458374,0.9944916
-0.12193298,0.9925232
-0.13919067,0.9902191
-0.15644836,0.98768616
-0.17367554,0.984787
-0.19082642,0.9815979
-0.20796204,0.9780884
-0.22492981,0.97436523
-0.2419281,0.9702759
-0.25880432,0.96595764
-0.27574158,0.9611664
-0.2924652,0.9562378
-0.309021,0.95106506
-0.32565308,0.9454651
-0.3420868,0.939621
-0.35845947,0.933548
-0.37471008,0.92710876
-0.3908081,0.9204407
-0.4067688,0.9135437
-0.42269897,0.9062958
-0.43841553,0.89875793
-0.45402527,0.89100647
-0.4695282,0.8829346
-0.48486328,0.8746033
-0.5000458,0.8660431
-0.51509094,0.8571625
-0.5299835,0.848053
-0.5447235,0.8385773
-0.5592041,0.82902527
-0.5736084,0.8191223
-0.58776855,0.80903625
-0.60191345,0.79855347
-0.6157532,0.78793335
-0.62939453,0.77708435
-0.64289856,0.7659912
-0.65615845,0.75465393
-0.66922,0.743103
-0.68211365,0.7312927
-0.69470215,0.71932983
-0.70718384,0.7070465
-0.7194824,0.69454956
-0.73147583,0.6819
-0.74328613,0.66900635
-0.7548065,0.65597534
-0.7661438,0.64271545
-0.77723694,0.6292114
-0.78808594,0.61557007
-0.79870605,0.60173035
-0.80918884,0.58758545
-0.8192444,0.5734253
-0.82914734,0.559021
-0.83872986,0.54447937
-0.84817505,0.5297394
-0.85728455,0.5148468
-0.86613464,0.49986267
-0.8746948,0.48468018
-0.88305664,0.46931458
-0.89112854,0.45381165
-0.8988495,0.4382019
-0.9063873,0.42248535
-0.91363525,0.40655518
-0.92056274,0.39056396
-0.92726135,0.37443542
-0.933609,0.35824585
-0.939682,0.34187317
-0.94555664,0.32540894
-0.9511261,0.30880737
-0.95632935,0.29219055
-0.9613342,0.27540588
-0.9660187,0.25852966
-0.9703064,0.24171448
-0.97439575,0.22471619
-0.9781494,0.2077179
-0.98165894,0.19058228
-0.9848175,0.1734314
-0.9877167,0.15623474
-0.99024963,0.13897705
-0.9925842,0.121658325
-0.9945526,0.10430908
-0.99617004,0.087020874
-0.99757385,0.069610596
-0.99861145,0.052124023
-0.99938965,0.034729004
-0.9998169,0.01727295
-1.0,0.0
-0.9998169,-0.01751709
-0.99938965,-0.034973145
-0.99861145,-0.052337646
-0.99757385,-0.06982422
-0.99617004,-0.0872345
-0.9944916,-0.10458374
-0.9925232,-0.12193298
-0.9902191,-0.13919067
-0.98768616,-0.15644836
-0.984787,-0.17367554
-0.9815979,-0.19082642
-0.9780884,-0.20796204
-0.97436523,-0.22492981
-0.9702759,-0.2419281
-0.96595764,-0.25880432
-0.9611664,-0.27574158
-0.9562378,-0.2924652
-0.95106506,-0.309021
-0.9454651,-0.32565308
-0.939621,-0.3420868
-0.933548,-0.35845947
-0.92710876,-0.37471008
-0.9204407,-0.3908081
-0.9135437,-0.4067688
-0.9062958,-0.42269897
-0.89875793,-0.43841553
-0.89100647,-0.45402527
-0.8829346,-0.4695282
-0.8746033,-0.48486328
-0.8660431,-0.5000458
-0.8571625,-0.51509094
-0.848053,-0.5299835
-0.8385773,-0.5447235
-0.82902527,-0.5592041
-0.8191223,-0.5736084
-0.80903625,-0.58776855
-0.79855347,-0.60191345
-0.78793335,-0.6157532
-0.77708435,-0.62939453
-0.7659912,-0.64289856
-0.75465393,-0.65615845
-0.743103,-0.66922
-0.7312927,-0.68211365
-0.71932983,-0.69470215
-0.7070465,-0.70718384
-0.69454956,-0.7194824
-0.6819,-0.73147583
-0.66900635,-0.74328613
-0.65597534,-0.7548065
-0.64271545,-0.7661438
-0.6292114,-0.77723694
-0.61557007,-0.78808594
-0.60173035,-0.79870605
-0.58758545,-0.80918884
-0.5734253,-0.8192444
-0.559021,-0.82914734
-0.54447937,-0.83872986
-0.5297394,-0.84817505
-0.5148468,-0.85728455
-0.49986267,-0.86613464
-0.48468018,-0.8746948
-0.46931458,-0.88305664
-0.45381165,-0.89112854
-0.4382019,-0.8988495
-0.42248535,-0.9063873
-0.40655518,-0.91363525
-0.39056396,-0.92056274
-0.37443542,-0.92726135
-0.35824585,-0.933609
-0.34187317,-0.939682
-0.32540894,-0.94555664
-0.30880737,-0.9511261
-0.29219055,-0.95632935
-0.27540588,-0.9613342
-0.25852966,-0.9660187
-0.24171448,-0.9703064
-0.22471619,-0.97439575
-0.2077179,-0.9781494
-0.19058228,-0.98165894
-0.1734314,-0.9848175
-0.15623474,-0.9877167
-0.13897705,-0.99024963
-0.121658325,-0.9925842
-0.10430908,-0.9945526
-0.087020874,-0.99617004
-0.069610596,-0.99757385
-0.052124023,-0.99861145
-0.034729004,-0.99938965
-0.01727295,-0.9998169
-0.0,-1.0
0.01751709,-0.9998169
0.034973145,-0.99938965
0.052337646,-0.99861145
0.06982422,-0.99757385
0.0872345,-0.99617004
0.10458374,-0.9944916
0.12193298,-0.9925232
0.13919067,-0.9902191
0.15644836,-0.98768616
0.17367554,-0.984787
0.19082642,-0.9815979
0.20796204,-0.9780884
0.22492981,-0.97436523
0.2419281,-0.9702759
0.25880432,-0.96595764
0.27574158,-0.9611664
0.2924652,-0.9562378
0.309021,-0.95106506
0.32565308,-0.9454651
0.3420868,-0.939621
0.35845947,-0.933548
0.37471008,-0.92710876
0.3908081,-0.9204407
0.4067688,-0.9135437
0.42269897,-0.9062958
0.43841553,-0.89875793
0.45402527,-0.89100647
0.4695282,-0.8829346
0.48486328,-0.8746033
0.5000458,-0.8660431
0.51509094,-0.8571625
0.5299835,-0.848053
0.5447235,-0.8385773
0.5592041,-0.82902527
0.5736084,-0.8191223
0.58776855,-0.80903625
0.60191345,-0.79855347
0.6157532,-0.78793335
0.62939453,-0.77708435
0.64289856,-0.7659912
0.65615845,-0.75465393
0.66922,-0.743103
0.68211365,-0.7312927
0.69470215,-0.71932983
0.70718384,-0.7070465
0.7194824,-0.69454956
0.73147583,-0.6819
0.74328613,-0.66900635
0.7548065,-0.65597534
0.7661438,-0.64271545
0.77723694,-0.6292114
0.78808594,-0.61557007
0.79870605,-0.60173035
0.80918884,-0.58758545
0.8192444,-0.5734253
0.82914734,-0.559021
0.83872986,-0.54447937
0.84817505,-0.5297394
0.85728455,-0.5148468
0.86613464,-0.49986267
0.8746948,-0.48468018
0.88305664,-0.46931458
0.89112854,-0.45381165
0.8988495,-0.4382019
0.9063873,-0.42248535
0.91363525,-0.40655518
0.92056274,-0.39056396
0.92726135,-0.37443542
0.933609,-0.35824585
0.939682,-0.34187317
0.94555664,-0.32540894
0.9511261,-0.30880737
0.95632935,-0.29219055
0.9613342,-0.27540588
0.9660187,-0.25852966
0.9703064,-0.24171448
0.97439575,-0.22471619
0.9781494,-0.2077179
0.98165894,-0.19058228
0.9848175,-0.1734314
0.9877167,-0.15623474
0.99024963,-0.13897705
0.9925842,-0.121658325
0.9945526,-0.10430908
0.99617004,-0.087020874
0.99757385,-0.069610596
0.99861145,-0.052124023
0.99938965,-0.034729004
0.9998169,-0.01727295
